pwm,gram
3.0,6.58
7.0,25.25
9.0,29.9
13.0,35.65
18.0,52.49
23.0,79.51
28.0,117.23
31.0,129.98
34.0,150.48
39.0,197.76
44.0,260.74
49.0,305.51
51.0,337.94
53.0,367.01
57.0,420.55
61.0,482.45
63.0,510.63
67.0,568.03
70.0,629.94
75.0,711.63
78.0,770.42
80.0,817.19
83.0,869.26
87.0,959.03
91.0,1043.7
94.0,1124.27
98.0,1223.08
100.0,1265.88
2.0,13.26
4.0,14.24
9.0,28.31
13.0,40.06
15.0,36.37
20.0,65.84
24.0,78.72
26.0,102.73
29.0,113.84
33.0,155.86
38.0,189.12
40.0,208.0
42.0,231.12
45.0,273.0
47.0,294.33
51.0,344.18
56.0,406.75
61.0,479.34
66.0,556.1
68.0,584.19
71.0,648.44
73.0,681.23
