pwm,gram,label
0,0,Percobaan 3
5,0,Percobaan 3
10,0,Percobaan 3
15,0,Percobaan 3
20,0,Percobaan 3
25,0,Percobaan 3
30,0,Percobaan 3
35,0,Percobaan 3
40,0,Percobaan 3
45,0,Percobaan 3
50,0,Percobaan 3
55,0,Percobaan 3
60,0,Percobaan 3
65,0,Percobaan 3
70,0,Percobaan 3
75,0,Percobaan 3
80,0,Percobaan 3
85,0,Percobaan 3
90,0,Percobaan 3
95,0,Percobaan 3
100,0,Percobaan 3
